experiment,emissions,auroc,rse,rmse,Epoche fornite,epoche usate,warmup
chemberta_classic,0.0009874390915048526,0.8188701223063483,,,30,10,5
chemberta_early,0.0005684501589645312,0.8499320520287322,,,30,5,5
chemberta2_classic,0.000386838030965317,0.8171228887594643,,,30,21,5
chemberta2_early,0.00026965510547692737,0.8549796156086197,,,30,5,5
selformer_classic,0.0015160287549010611,0.8188701223063484,,,30,8,5
selformer_early,0.001175708023616973,0.8318773053775965,,,30,6,5
smilesbert_classic,0.002709027056428451,0.7887788778877888,,,30,15,5
smilesbert_early,0.0010694182947685875,0.8437196660842555,,,30,5,5
graphmae_classic_10,3.235063772996695e-05,0.6338575033973985,,,100,6,10
graphmae_early_10,4.963062163400403e-05,0.6672490778489614,,,100,10,10
graphmae_classic_25,3.2555664891461694e-05,0.6338575033973985,,,100,6,25
graphmae_early_25,0.00012022311589760217,0.7004465152397593,,,100,25,25
graphmae_classic_50,3.298126686600199e-05,0.6338575033973985,,,100,6,50
graphmae_early_50,0.0002378420029370646,0.7476218210056299,,,100,50,50
