experiment,emissions,auroc,rse,rmse,Epoche fornite,epoche usate,warmup
chemberta_classic,0.0003578939346147188,0.7083333333333334,,,30,9,5
chemberta_early,0.0002951286174677795,0.625,,,30,5,5
chemberta2_classic,0.00020257401624835253,0.7708333333333333,,,30,13,5
chemberta2_early,0.0002111203383616683,0.6666666666666667,,,30,5,5
selformer_classic,0.0003520481927589224,0.6041666666666666,,,30,9,5
selformer_early,0.00030928859235212727,0.6458333333333333,,,30,5,5
smilesbert_classic,0.0004104862302925707,0.5416666666666667,,,30,9,5
smilesbert_early,0.00030712562532039225,0.4375,,,30,5,5
graphmae_classic_10,9.722607080360294e-06,0.4545454545454546,,,100,14,10
graphmae_early_10,5.3725374525015466e-06,0.4242424242424243,,,100,10,10
graphmae_classic_25,1.5885378895855115e-05,0.4848484848484849,,,100,29,25
graphmae_early_25,1.1815324334245035e-05,0.4848484848484849,,,100,25,25
graphmae_classic_50,2.7455355437323942e-05,0.5757575757575757,,,100,54,50
graphmae_early_50,2.3073225060900733e-05,0.5151515151515151,,,100,50,50
