experiment,emissions,auroc,rse,rmse,Epoche fornite,epoche usate,warmup
chemberta_classic,0.01928699855881878,,0.3062574289021957,1.3812392950057983,30,12,5
chemberta_early,0.011341747203895608,,0.2894262230252307,1.3427480459213257,30,7,5
chemberta2_classic,0.003522442524399766,,0.3368233940639905,1.448527455329895,30,18,5
chemberta2_early,0.0011076525229833775,,0.279932273161941,1.3205416202545166,30,5,5
selformer_classic,0.04761354965588057,,0.5669393074139287,1.8792903423309326,30,15,5
selformer_early,0.01920520550398482,,0.280034865799423,1.3207836151123047,30,6,5
smilesbert_classic,0.05219374167121405,,1.0094233921768077,2.5076231956481934,30,16,5
smilesbert_early,0.016478923332858903,,0.9802934624906332,2.4711759090423584,30,5,5
graphmae_classic_10,0.009642650141024355,,0.41062625550453885,1.599370087205507,100,100,10
graphmae_early_10,0.0009716975479828965,,0.5247928297972088,1.8080879762967008,100,10,10
graphmae_classic_25,0.008730646277888892,,0.4226450488639531,1.6226075958338897,100,91,25
graphmae_early_25,0.002505172050001208,,0.48123905948791046,1.7314344187517294,100,26,25
graphmae_classic_50,0.009530807509963745,,0.4169478250646432,1.6116341753343257,100,99,50
graphmae_early_50,0.004806758672483629,,0.4537377346330802,1.6812336003672415,100,50,50
