experiment,emissions,auroc,rse,rmse,Epoche fornite,epoche usate,warmup
chemberta_classic,0.019673390660109726,0.628222588583853,,,30,9,5
chemberta_early,0.024030481493681963,0.7212933760224277,,,30,11,5
chemberta2_classic,0.004310536890105587,0.7842806967242492,,,30,14,5
chemberta2_early,0.0016981607491731862,0.7833448816890863,,,30,5,5
selformer_classic,0.038635276255588075,0.5594371968556615,,,30,9,5
selformer_early,0.021640485550613205,0.6502839302638601,,,30,5,5
smilesbert_classic,0.039815130303697974,0.4730943221911611,,,30,9,5
smilesbert_early,0.02663252410866556,0.5517953711004389,,,30,6,5
graphmae_classic_10,0.0016629043392050367,0.7168761299468775,,,100,14,10
graphmae_early_10,0.0013682613745922348,0.708326364497965,,,100,10,10
graphmae_classic_25,0.003931024655257815,0.7494245733081659,,,100,29,25
graphmae_early_25,0.003428921941743589,0.7410938283993979,,,100,25,25
graphmae_classic_50,0.007331094987727076,0.7618649399883721,,,100,54,50
graphmae_early_50,0.0062441280539615625,0.7640431988148998,,,100,50,50
