experiment,emissions,auroc,rse,rmse,Epoche fornite,epoche usate,warmup
chemberta_classic,0.004897149964436174,,0.5247521949124487,0.8966459035873413,30,21,5
chemberta_early,0.0013424488566502438,,0.6012275444748659,0.959761381149292,30,5,5
chemberta2_classic,0.000820386768785145,,0.4517199936742701,0.8319140672683716,30,23,5
chemberta2_early,0.0003402138803404942,,0.4522175359818084,0.8323721289634705,30,5,5
selformer_classic,0.0033038646223127067,,0.6546678376411236,1.0015077590942383,30,7,5
selformer_early,0.002852812297676559,,0.6489939772801515,0.997158408164978,30,6,5
smilesbert_classic,0.004747886122668988,,0.6548636580765277,1.001657485961914,30,10,5
smilesbert_early,0.002486223052639224,,0.7252456201354237,1.054111123085022,30,5,5
graphmae_classic_10,0.0012351789265545403,,0.6067026452868098,0.9641214969850951,100,100,10
graphmae_early_10,0.00012360200008344955,,0.9679927051541277,1.2178109210424994,100,10,10
graphmae_classic_25,0.0011851541899707654,,0.606705699604457,0.9641239238161127,100,100,25
graphmae_early_25,0.0003088140739962608,,0.8302164046179615,1.1278191836044993,100,25,25
graphmae_classic_50,0.0012628444965969864,,0.6068900950758824,0.9642704253072648,100,100,50
graphmae_early_50,0.0005883533824868003,,0.6843301650481892,1.0239450813376418,100,50,50
