experiment,emissions,auroc,rse,rmse,Epoche fornite,epoche usate,warmup
chemberta_classic,0.004474567983517326,,1.0576692916860082,1.1616756916046143,30,8,5
chemberta_early,0.0049976586768439,,1.1493433319498314,1.2109739780426025,30,9,5
chemberta2_classic,0.0006741110844633168,,0.8781501474612194,1.0585083961486816,30,7,5
chemberta2_early,0.0005147795425779643,,0.8492886108526753,1.040968418121338,30,5,5
selformer_classic,0.010746991212640897,,1.1643100614037154,1.218833088874817,30,10,5
selformer_early,0.011818430887692565,,1.0957546794966346,1.182405948638916,30,11,5
smilesbert_classic,0.01534757874102083,,0.9911506960899028,1.124552607536316,30,14,5
smilesbert_early,0.005606619730093479,,0.9908829068614553,1.1244006156921387,30,5,5
graphmae_classic_10,0.0008803729329505985,,0.9146067873953498,1.0802571078771526,100,16,10
graphmae_early_10,0.0005452391873010067,,0.9331345567476642,1.0911439752103855,100,10,10
graphmae_classic_25,0.0016646099405638246,,0.979956930736169,1.1181843689012347,100,29,25
graphmae_early_25,0.001368586990899817,,0.9530630448263591,1.1027339300029864,100,25,25
graphmae_classic_50,0.002963496541564189,,1.1041294775056507,1.1869158375625586,100,54,50
graphmae_early_50,0.0027285263428880307,,1.0567031338736836,1.1611449033948822,100,50,50
